ticker,sic_description,sec_name
MASS,Laboratory Analytical Instruments,908 Devices Inc.
MATV,Paper Mills,"Mativ Holdings, Inc."
MAX,"Services-Business Services, NEC","MediaAlpha, Inc."
MBX,Pharmaceutical Preparations,"MBX Biosciences, Inc."
MDB,Services-Prepackaged Software,"MongoDB, Inc."
MDXG,Surgical & Medical Instruments & Apparatus,"MIMEDX GROUP, INC."
MEI,Electronic Connectors,METHODE ELECTRONICS INC
METC,Silver Ores,"Ramaco Resources, Inc."
MF,"Services-Computer Programming, Data Processing, Etc.",MindForge Inc.
MG,Services-Engineering Services,"Mistras Group, Inc."
MGNI,"Services-Computer Programming, Data Processing, Etc.","MAGNITE, INC."
MGNX,Pharmaceutical Preparations,MACROGENICS INC
MGRT,Services-Computer Programming Services,Mega Fortune Co Ltd
MGTX,"Biological Products, (No Diagnostic Substances)",MeiraGTx Holdings plc
MH,Miscellaneous Publishing,"McGraw Hill, Inc."
MITK,"Computer Peripheral Equipment, NEC",MITEK SYSTEMS INC
MLAB,"Industrial Instruments For Measurement, Display, and Control",MESA LABORATORIES INC /CO/
MMED,Surgical & Medical Instruments & Apparatus,"MiniMed Group, Inc."
MMYT,Transportation Services,MakeMyTrip Ltd
MNDY,Services-Prepackaged Software,monday.com Ltd.
MNKD,Pharmaceutical Preparations,MANNKIND CORP
MNPR,Pharmaceutical Preparations,Monopar Therapeutics
MNTN,Services-Advertising,"MNTN, Inc."
MOVE,Services-Computer Processing & Data Preparation,"Corvex, Inc."
MP,Metal Mining,MP Materials Corp. / DE
MRAM,Semiconductors & Related Devices,EVERSPIN TECHNOLOGIES INC.
MRNA,"Biological Products, (No Diagnostic Substances)","Moderna, Inc."
MRVI,Pharmaceutical Preparations,"MARAVAI LIFESCIENCES HOLDINGS, INC."
MRVL,Semiconductors & Related Devices,"Marvell Technology, Inc."
MRX,"Security & Commodity Brokers, Dealers, Exchanges & Services",Marex Group Ltd
MSTR,Finance Services,Strategy Inc
MTA,Gold and Silver Ores,Metalla Royalty & Streaming Ltd.
MTEN,"Metal Doors, Sash, Frames, Moldings & Trim",Mingteng International Corp Inc.
MTRN,Metal Forgings & Stampings,MATERION Corp
MTW,Construction Machinery & Equip,MANITOWOC CO INC
MU,Semiconductors & Related Devices,MICRON TECHNOLOGY INC
MXL,Semiconductors & Related Devices,"MAXLINEAR, INC"
NAT,Water Transportation,NORDIC AMERICAN TANKERS Ltd
NAVI,"Security Brokers, Dealers & Flotation Companies",NAVIENT CORP
NAVN,Services-Prepackaged Software,"Navan, Inc."
NBIS,"Services-Computer Programming, Data Processing, Etc.",Nebius Group N.V.
NBTX,Pharmaceutical Preparations,Nanobiotix S.A.
NCI,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,Neo-Concept International Group Holdings Ltd
NCNO,Services-Prepackaged Software,"nCino, Inc."
NEO,Services-Testing Laboratories,NEOGENOMICS INC
NEOV,"Miscellaneous Electrical Machinery, Equipment & Supplies",NeoVolta Inc.
NESR,"Oil & Gas Field Services, NEC",National Energy Services Reunited Corp.
NET,Services-Prepackaged Software,"Cloudflare, Inc."
NEWP,Gold and Silver Ores,NEW PACIFIC METALS CORP
NG,Gold and Silver Ores,NOVAGOLD RESOURCES INC
NGL,Natural Gas Transmission,NGL Energy Partners LP
NGNE,Pharmaceutical Preparations,Neurogene Inc.
NIQ,"Services-Computer Programming, Data Processing, Etc.",NIQ Global Intelligence plc
NMAX,Television Broadcasting Stations,Newsmax Inc.
NNBR,Metalworkg Machinery & Equipment,NN INC
NOW,Services-Prepackaged Software,"ServiceNow, Inc."
NP,"Insurance Agents, Brokers & Service",Neptune Insurance Holdings Inc.
NRC,Services-Commercial Physical & Biological Research,NRC HEALTH
NRGV,"Miscellaneous Electrical Machinery, Equipment & Supplies","Energy Vault Holdings, Inc."
NRIX,Pharmaceutical Preparations,"Nurix Therapeutics, Inc."
NRXP,Pharmaceutical Preparations,"NRX Pharmaceuticals, Inc."
NSP,Services-Help Supply Services,"INSPERITY, INC."
NTAP,Computer Storage Devices,"NetApp, Inc."
NTSK,Services-Prepackaged Software,Netskope Inc
NU,Finance Services,Nu Holdings Ltd.
NUAI,Crude Petroleum & Natural Gas,"New ERA Energy & Digital, Inc."
NUTX,"Services-Business Services, NEC",Nutex Health Inc.
NUVB,Pharmaceutical Preparations,Nuvation Bio Inc.
NVAX,"Biological Products, (No Diagnostic Substances)",NOVAVAX INC
NVCR,Surgical & Medical Instruments & Apparatus,NovoCure Ltd
NVCT,Pharmaceutical Preparations,"Nuvectis Pharma, Inc."
NVRI,Refuse Systems,Enviri Corp
NWL,"Plastics Products, NEC",NEWELL BRANDS INC.
NX,Rolling Drawing & Extruding of  Nonferrous Metals,Quanex Building Products CORP
OABI,Services-Commercial Physical & Biological Research,"OmniAb, Inc."
OBE,Crude Petroleum & Natural Gas,OBSIDIAN ENERGY LTD.
OCC,Drawing & Insulating of  Nonferrous Wire,OPTICAL CABLE CORP
OCUL,Pharmaceutical Preparations,"OCULAR THERAPEUTIX, INC"
ODD,"Perfumes, Cosmetics & Other Toilet Preparations",Oddity Tech Ltd
OESX,Electric Lighting & Wiring Equipment,"ORION ENERGY SYSTEMS, INC."
OGC,Metal Mining,OceanaGold Corp
OGI,Pharmaceutical Preparations,ORGANIGRAM GLOBAL INC.
OII,"Oil & Gas Field Services, NEC",OCEANEERING INTERNATIONAL INC
OKTA,Services-Prepackaged Software,"Okta, Inc."
OMDA,Services-Health Services,"Omada Health, Inc."
OMER,Pharmaceutical Preparations,OMEROS CORP
ONT,Services-Management Consulting Services,"Onterris, Inc."
ONTO,"Measuring & Controlling Devices, NEC",ONTO INNOVATION INC.
OOMA,Services-Computer Processing & Data Preparation,OOMA INC
OPK,Pharmaceutical Preparations,"OPKO HEALTH, INC."
OPRT,Finance Services,Oportun Financial Corp
OPTX,Optical Instruments & Lenses,"SYNTEC OPTICS HOLDINGS, INC."
ORIC,Pharmaceutical Preparations,"Oric Pharmaceuticals, Inc."
ORKA,Pharmaceutical Preparations,"Oruka Therapeutics, Inc."
OSCR,Hospital & Medical Service Plans,"Oscar Health, Inc."
OUST,"General Industrial Machinery & Equipment, NEC","Ouster, Inc."
OVID,Pharmaceutical Preparations,Ovid Therapeutics Inc.
OWL,Investment Advice,BLUE OWL CAPITAL INC.
P,Computer Storage Devices,"Everpure, Inc."
PACB,Laboratory Analytical Instruments,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC."
PANW,"Computer Peripheral Equipment, NEC",Palo Alto Networks Inc
PAR,Calculating & Accounting Machines (No Electronic Computers),PAR TECHNOLOGY CORP
PARR,Crude Petroleum & Natural Gas,"PAR PACIFIC HOLDINGS, INC."
PATH,Services-Prepackaged Software,"UiPath, Inc."
PAY,"Services-Business Services, NEC","Paymentus Holdings, Inc."
PAYS,"Services-Business Services, NEC","Paysign, Inc."
PBF,Petroleum Refining,PBF Energy Inc.
PBT,Oil Royalty Traders,PERMIAN BASIN ROYALTY TRUST
PBYI,Pharmaceutical Preparations,"PUMA BIOTECHNOLOGY, INC."
PCLA,Electric Lighting & Wiring Equipment,PicoCELA Inc.
PCOR,Services-Prepackaged Software,"PROCORE TECHNOLOGIES, INC."
PCVX,"Biological Products, (No Diagnostic Substances)","Vaxcyte, Inc."
PD,Services-Prepackaged Software,"PagerDuty, Inc."
PDEX,Surgical & Medical Instruments & Apparatus,PRO DEX INC
PDFS,Services-Prepackaged Software,PDF SOLUTIONS INC
PEGA,Services-Computer Processing & Data Preparation,PEGASYSTEMS INC
PENG,Semiconductors & Related Devices,"Penguin Solutions, Inc."
PEPG,Pharmaceutical Preparations,PepGen Inc.
PESI,Hazardous Waste Management,PERMA FIX ENVIRONMENTAL SERVICES INC
PGEN,Pharmaceutical Preparations,"PRECIGEN, INC."
PGY,Finance Services,Pagaya Technologies Ltd.
PI,"Electronic Components, NEC",IMPINJ INC
PKOH,Metal Forgings & Stampings,PARK OHIO HOLDINGS CORP
PLPC,"Water, Sewer, Pipeline, Comm & Power Line Construction",PREFORMED LINE PRODUCTS CO
PLSE,Surgical & Medical Instruments & Apparatus,"PULSE BIOSCIENCES, INC."
PLTR,Services-Prepackaged Software,Palantir Technologies Inc.
PLX,"Biological Products, (No Diagnostic Substances)","Protalix BioTherapeutics, Inc."
PMI,Surgical & Medical Instruments & Apparatus,"Picard Medical, Inc."
PMTS,Commercial Printing,CPI Card Group Inc.
PNRG,Crude Petroleum & Natural Gas,PRIMEENERGY RESOURCES CORP
PPBT,Pharmaceutical Preparations,PURPLE BIOTECH LTD.
PPTA,Gold and Silver Ores,PERPETUA RESOURCES CORP.
PRAA,Short-Term Business Credit Institutions,PRA GROUP INC
PRAX,Pharmaceutical Preparations,"Praxis Precision Medicines, Inc."
PRCH,Services-Prepackaged Software,"Porch Group, Inc."
PRE,Pharmaceutical Preparations,Prenetics Global Ltd
PRGO,Pharmaceutical Preparations,PERRIGO Co plc
PRGS,Services-Prepackaged Software,PROGRESS SOFTWARE CORP /MA
PRLD,Pharmaceutical Preparations,Prelude Therapeutics Inc
PRME,"Biological Products, (No Diagnostic Substances)","Prime Medicine, Inc."
PROK,"Biological Products, (No Diagnostic Substances)",PROKIDNEY CORP.
PRPO,Laboratory Analytical Instruments,"Precipio, Inc."
PSIX,Engines & Turbines,"POWER SOLUTIONS INTERNATIONAL, INC."
PSKY,Television Broadcasting Stations,Paramount Skydance Corp
PSNL,Services-Medical Laboratories,"Personalis, Inc."
PSNYW,Motor Vehicles & Passenger Car Bodies,Polestar Automotive Holding UK PLC
PSQH,Services-Advertising,"PSQ Holdings, Inc."
PTEN,Drilling Oil & Gas Wells,PATTERSON UTI ENERGY INC
PTGX,Pharmaceutical Preparations,"Protagonist Therapeutics, Inc"
PTRN,Retail-Catalog & Mail-Order Houses,Pattern Group Inc.
PUBM,"Services-Computer Programming, Data Processing, Etc.","PubMatic, Inc."
PURR,Finance Services,Hyperliquid Strategies Inc
PUSA,Services-Membership Sports & Recreation Clubs,Aureus Greenway Holdings Inc
PVLA,Pharmaceutical Preparations,"PALVELLA THERAPEUTICS, INC."
PYXS,Pharmaceutical Preparations,"Pyxis Oncology, Inc."
QLYS,Services-Prepackaged Software,"QUALYS, INC."
QMCO,Computer Storage Devices,QUANTUM CORP /DE/
QNRX,Pharmaceutical Preparations,"Quoin Pharmaceuticals, Ltd."
QNST,"Services-Business Services, NEC","QUINSTREET, INC"
QTTB,Pharmaceutical Preparations,Q32 Bio Inc.
QTWO,Services-Prepackaged Software,"Q2 Holdings, Inc."
QURE,Pharmaceutical Preparations,uniQure N.V.
RAPP,Pharmaceutical Preparations,"Rapport Therapeutics, Inc."
RBRK,Services-Prepackaged Software,"Rubrik, Inc."
RCEL,Surgical & Medical Instruments & Apparatus,"AVITA Medical, Inc."
RCKT,Pharmaceutical Preparations,"ROCKET PHARMACEUTICALS, INC."
RCMT,Services-Help Supply Services,"RCM TECHNOLOGIES, INC."
RCUS,Pharmaceutical Preparations,"Arcus Biosciences, Inc."
RDAC,Blank Checks,Rising Dragon Acquisition Corp.
RDIB,Services-Motion Picture Theaters,READING INTERNATIONAL INC
RDNT,Services-Medical Laboratories,"RadNet, Inc."
RDVT,Services-Prepackaged Software,"Red Violet, Inc."
REI,Crude Petroleum & Natural Gas,"RING ENERGY, INC."
RELY,"Services-Business Services, NEC","Remitly Global, Inc."
REPL,"Biological Products, (No Diagnostic Substances)","Replimune Group, Inc."
RFAI,Blank Checks,RF Acquisition Corp II
RGEN,"Biological Products, (No Diagnostic Substances)",REPLIGEN CORP
RGNX,"Biological Products, (No Diagnostic Substances)",REGENXBIO Inc.
RHLD,Finance Services,"Resolute Holdings Management, Inc."
RIGL,Pharmaceutical Preparations,RIGEL PHARMACEUTICALS INC
RIOT,Finance Services,"Riot Platforms, Inc."
RLAY,"Biological Products, (No Diagnostic Substances)","Relay Therapeutics, Inc."
RMNI,"Services-Business Services, NEC","Rimini Street, Inc."
RNA,Pharmaceutical Preparations,"Atrium Therapeutics, Inc."
RNG,Services-Computer Processing & Data Preparation,"RingCentral, Inc."
RNXT,Pharmaceutical Preparations,"RenovoRx, Inc."
ROCK,"Steel Works, Blast Furnaces & Rolling & Finishing Mills","GIBRALTAR INDUSTRIES, INC."
ROOT,"Fire, Marine & Casualty Insurance","Root, Inc."
RPD,Services-Prepackaged Software,"Rapid7, Inc."
RRGB,Retail-Eating  Places,RED ROBIN GOURMET BURGERS INC
RSKD,"Services-Business Services, NEC",RISKIFIED LTD.
RUM,"Services-Computer Programming, Data Processing, Etc.",RUM Group Inc.
RVMD,"Biological Products, (No Diagnostic Substances)","Revolution Medicines, Inc."
RXO,Transportation Services,"RXO, Inc."
RXRX,"Biological Products, (No Diagnostic Substances)","RECURSION PHARMACEUTICALS, INC."
RXST,Ophthalmic Goods,"RxSight, Inc."
RZLT,Pharmaceutical Preparations,"Rezolute, Inc."
S,Services-Prepackaged Software,"SentinelOne, Inc."
SABR,"Services-Computer Programming, Data Processing, Etc.",Sabre Corp
SAIC,Services-Computer Integrated Systems Design,Science Applications International Corp
SAIL,Services-Prepackaged Software,"SailPoint, Inc."
SANA,"Biological Products, (No Diagnostic Substances)","Sana Biotechnology, Inc."
SBET,Finance Services,"Sharplink, Inc."
SCSC,Wholesale-Computers & Peripheral Equipment & Software,"SCANSOURCE, INC."
SCZM,Gold and Silver Ores,Santacruz Silver Mining Ltd.
SDGR,Pharmaceutical Preparations,"Schrodinger, Inc."
SDOT,Retail-Eating & Drinking Places,Sadot Group Inc.
SENEA,"Canned, Fruits, Veg, Preserves, Jams & Jellies",Seneca Foods Corp
SENS,"Industrial Instruments For Measurement, Display, and Control","Senseonics Holdings, Inc."
SEPN,Pharmaceutical Preparations,"Septerna, Inc."
SEZL,"Services-Business Services, NEC",Sezzle Inc.
SG,Retail-Eating  Places,"Sweetgreen, Inc."
SGMT,Pharmaceutical Preparations,Sagimet Biosciences Inc.
SHAZ,Services-Computer Processing & Data Preparation,SharonAI Holdings Inc.
SI,Surgical & Medical Instruments & Apparatus,"SHOULDER INNOVATIONS, INC."
SID,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",NATIONAL STEEL CO
SIF,Aircraft Engines & Engine Parts,SIFCO INDUSTRIES INC
SILC,Computer Communications Equipment,SILICOM LTD.
SIMO,Semiconductors & Related Devices,Silicon Motion Technology CORP
SKE,Gold and Silver Ores,Skeena Resources Ltd
SKK,"Water, Sewer, Pipeline, Comm & Power Line Construction",SKK Holdings Ltd
SKYQ,Hazardous Waste Management,Sky Quarry Inc.
SLDB,"Biological Products, (No Diagnostic Substances)",Solid Biosciences Inc.
SLE,Services-Computer Integrated Systems Design,"Super League Enterprise, Inc."
SLN,Pharmaceutical Preparations,Silence Therapeutics plc
SLNH,Finance Services,"Soluna Holdings, Inc"
SLS,Pharmaceutical Preparations,"SELLAS Life Sciences Group, Inc."
SM,Crude Petroleum & Natural Gas,SM Energy Co
SMCI,Electronic Computers,"Super Micro Computer, Inc."
SMMT,Pharmaceutical Preparations,Summit Therapeutics Inc.
SMTC,Semiconductors & Related Devices,SEMTECH CORP
SMWB,"Services-Computer Programming, Data Processing, Etc.",SIMILARWEB LTD.
SNDK,Computer Storage Devices,Sandisk Corp
SNOW,Services-Prepackaged Software,Snowflake Inc.
SOPH,Services-Computer Processing & Data Preparation,SOPHiA GENETICS SA
SPAI,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Safe Pro Group Inc.
SPCE,Transportation Services,"Virgin Galactic Holdings, Inc"
SPRB,Pharmaceutical Preparations,"SPRUCE BIOSCIENCES, INC."
SPT,Services-Prepackaged Software,"Sprout Social, Inc."
SRPT,Pharmaceutical Preparations,"Sarepta Therapeutics, Inc."
SRRK,"Biological Products, (No Diagnostic Substances)",Scholar Rock Holding Corp
SSRM,Mineral Royalty Traders,SSR MINING INC.
SST,"Services-Computer Programming, Data Processing, Etc.","System1, Inc."
STFS,Services-Advertising,Star Fashion Culture Holdings Ltd
STIM,Surgical & Medical Instruments & Apparatus,"Neuronetics, Inc."
STLN,Services-Offices & Clinics of  Doctors of  Medicine,"Starling Oncology, Inc."
STRZ,Services-Motion Picture & Video Tape Production,STARZ ENTERTAINMENT CORP /CN/
STTK,Pharmaceutical Preparations,"Shattuck Labs, Inc."
STX,Computer Storage Devices,Seagate Technology Holdings plc
SUPX,Services-Management Consulting Services,SuperX AI Technology Ltd
SVM,Gold and Silver Ores,SILVERCORP METALS INC
SVV,Retail-Miscellaneous Retail,"Savers Value Village, Inc."
SWIM,"Plastics Products, NEC","Latham Group, Inc."
SWKS,Semiconductors & Related Devices,"SKYWORKS SOLUTIONS, INC."
SWVL,"Services-Business Services, NEC",Swvl Holdings Corp
SXC,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)","SunCoke Energy, Inc."
SY,Services-Computer Processing & Data Preparation,So-Young International Inc.
SYRE,Pharmaceutical Preparations,"Spyre Therapeutics, Inc."
TALO,Crude Petroleum & Natural Gas,TALOS ENERGY INC.
TANH,Industrial Organic Chemicals,TANTECH HOLDINGS LTD
TARS,"Biological Products, (No Diagnostic Substances)","Tarsus Pharmaceuticals, Inc."
TASK,Services-Computer Processing & Data Preparation,"TaskUs, Inc."
TBBB,Retail-Grocery Stores,BBB FOODS INC
TBI,Services-Help Supply Services,"TrueBlue, Inc."
TBN,Crude Petroleum & Natural Gas,Tamboran Resources Corp
TDW,Water Transportation,TIDEWATER INC
TEAM,Services-Prepackaged Software,Atlassian Corp
TEM,"Services-Computer Programming, Data Processing, Etc.","Tempus AI, Inc."
TENB,Services-Prepackaged Software,"Tenable Holdings, Inc."
TGB,Gold and Silver Ores,Trekor Metals Ltd
TGTX,Pharmaceutical Preparations,"TG THERAPEUTICS, INC."
TH,"Hotels, Rooming Houses, Camps & Other Lodging Places",Target Hospitality Corp.
THM,Metal Mining,INTERNATIONAL TOWER HILL MINES LTD
TIC,"Services-Business Services, NEC","TIC Solutions, Inc."
TITN,"Retail-Retail Stores, NEC",Titan Machinery Inc.
TJGC,Services-Advertising Agencies,TJGC GROUP Ltd
TK,Deep Sea Foreign Transportation of  Freight,TEEKAY CORP LTD
TKNO,In Vitro & In Vivo Diagnostic Substances,"Alpha Teknova, Inc."
TLYS,Retail-Apparel & Accessory Stores,"TILLY'S, INC."
TMDX,Electromedical & Electrotherapeutic Apparatus,"TransMedics Group, Inc."
TNDM,Surgical & Medical Instruments & Apparatus,TANDEM DIABETES CARE INC
TNET,"Services-Business Services, NEC","TRINET GROUP, INC."
TNK,Water Transportation,TEEKAY TANKERS LTD.
TNXP,Pharmaceutical Preparations,Tonix Pharmaceuticals Holding Corp.
TPG,Investment Advice,TPG Inc.
TRI,Miscellaneous Publishing,THOMSON REUTERS CORP /CAN/
TRLV,Medicinal Chemicals & Botanical Products,Trulieve Cannabis Corp.
TRVI,Pharmaceutical Preparations,"Trevi Therapeutics, Inc."
TRX,Gold and Silver Ores,TRX GOLD Corp
TSEM,Semiconductors & Related Devices,TOWER SEMICONDUCTOR LTD
TTAN,Services-Prepackaged Software,"ServiceTitan, Inc."
TWFG,"Insurance Agents, Brokers & Service","TWFG, Inc."
TWIN,General Industrial Machinery & Equipment,TWIN DISC INC
TWLO,Services-Prepackaged Software,TWILIO INC
TWST,"Biological Products, (No Diagnostic Substances)",Twist Bioscience Corp
TXG,Laboratory Analytical Instruments,"10x Genomics, Inc."
TYL,Services-Prepackaged Software,TYLER TECHNOLOGIES INC
U,Services-Prepackaged Software,Unity Software Inc.
UAVS,Aircraft,AgEagle Aerial Systems Inc.
ULCC,"Air Transportation, Scheduled","Frontier Group Holdings, Inc."
UMAC,Radio & Tv Broadcasting & Communications Equipment,"Unusual Machines, Inc."
UPXI,Finance Services,"UPEXI, INC."
URGN,Pharmaceutical Preparations,UroGen Pharma Ltd.
UROY,Commodity Contracts Brokers & Dealers,Uranium Royalty Corp.
USAS,Metal Mining,Americas Gold & Silver Corp
VAC,Real Estate Agents & Managers (For Others),MARRIOTT VACATIONS WORLDWIDE Corp
VAI,Services-Auto Rental & Leasing (No Drivers),Senmiao Technology Ltd
VATE,Fabricated Structural Metal Products,INNOVATE Corp.
VBNK,"Commercial Banks, NEC",VersaBank
VEEV,Services-Prepackaged Software,VEEVA SYSTEMS INC
VFF,Agricultural Production-Crops,"Village Farms International, Inc."
VG,Natural Gas Distribution,"Venture Global, Inc."
VGZ,Gold and Silver Ores,VISTA GOLD CORP
VIA,Services-Prepackaged Software,"Via Transportation, Inc."
VIOT,Household Appliances,"Viomi Technology Co., Ltd"
VIR,"Biological Products, (No Diagnostic Substances)","Vir Biotechnology, Inc."
VIRT,"Security Brokers, Dealers & Flotation Companies","Virtu Financial, Inc."
VKTX,Pharmaceutical Preparations,"Viking Therapeutics, Inc."
VOR,"Biological Products, (No Diagnostic Substances)",Vor Biopharma Inc.
VOXR,Gold and Silver Ores,VOX ROYALTY CORP.
VRNS,Services-Prepackaged Software,VARONIS SYSTEMS INC
VSAT,"Communications Services, NEC",VIASAT INC
VSH,Electronic Components & Accessories,VISHAY INTERTECHNOLOGY INC
VSTM,Pharmaceutical Preparations,"Verastem, Inc."
VSTS,Wholesale-Miscellaneous Nondurable Goods,Vestis Corp
VSXY,Retail-Women's Clothing Stores,Victoria's Secret & Co.
VYX,Calculating & Accounting Machines (No Electronic Computers),NCR Voyix Corp
VZLA,Gold and Silver Ores,Vizsla Silver Corp.
W,Retail-Catalog & Mail-Order Houses,Wayfair Inc.
WAY,Services-Computer Integrated Systems Design,Waystar Holding Corp.
WDAY,Services-Computer Processing & Data Preparation,"Workday, Inc."
WDC,Computer Storage Devices,WESTERN DIGITAL CORP
WEN,Retail-Eating & Drinking Places,Wendy's Co
WEST,Beverages,Westrock Coffee Co
WGS,Services-Health Services,GeneDx Holdings Corp.
WIX,"Services-Computer Programming, Data Processing, Etc.",Wix.com Ltd.
WK,Services-Prepackaged Software,WORKIVA INC
WNC,Truck Trailers,WABASH NATIONAL Corp
WOLF,Semiconductors & Related Devices,"WOLFSPEED, INC."
WT,"Security Brokers, Dealers & Flotation Companies","WisdomTree, Inc."
WTI,Crude Petroleum & Natural Gas,W&T OFFSHORE INC
WVVIP,Beverages,WILLAMETTE VALLEY VINEYARDS INC
WW,Services-Personal Services,"WW INTERNATIONAL, INC."
WWW,"Footwear, (No Rubber)",WOLVERINE WORLD WIDE INC /DE/
WXM,Construction - Special Trade Contractors,WF International Ltd.
WYHG,Sausages & Other Prepared Meat Products,Wing Yip Food Holdings Group Ltd
XERS,Pharmaceutical Preparations,"Xeris Biopharma Holdings, Inc."
XGN,Services-Medical Laboratories,EXAGEN INC.
XHG,"Insurance Agents, Brokers & Service",XChange TEC.INC
XHLD,"Services-Business Services, NEC","TEN Holdings, Inc."
XMTR,"Services-Business Services, NEC","Xometry, Inc."
XNCR,Pharmaceutical Preparations,Xencor Inc
XOS,Motor Vehicle Parts & Accessories,"Xos, Inc."
XP,"Security Brokers, Dealers & Flotation Companies",XP Inc.
XPON,"Miscellaneous Electrical Machinery, Equipment & Supplies","Expion Energy, Inc."
XPRO,"Oil & Gas Field Services, NEC",Expro Ltd
XRX,"Computer Peripheral Equipment, NEC",Xerox Holdings Corp
XXI,Finance Services,"Twenty One Capital, Inc."
XZO,Services-Prepackaged Software,"Exzeo Group, Inc."
YAAS,Services-Prepackaged Software,Youxin Technology Ltd
YEXT,Services-Computer Processing & Data Preparation,"Yext, Inc."
YJ,"Retail-Retail Stores, NEC",Yunji Inc.
ZBIO,Pharmaceutical Preparations,"Zenas BioPharma, Inc."
ZENA,Services-Prepackaged Software,"ZenaTech, Inc."
ZETA,Services-Prepackaged Software,Zeta Global Holdings Corp.
ZIP,"Services-Computer Programming, Data Processing, Etc.","ZIPRECRUITER, INC."
ZJYL,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Jin Medical International Ltd.
ZLAB,Pharmaceutical Preparations,Zai Lab Ltd
ZS,Services-Computer Programming Services,"Zscaler, Inc."
ZSTK,Finance Services,ZeroStack Corp.
ZURA,"Biological Products, (No Diagnostic Substances)",Zura Bio Ltd
ZYME,Pharmaceutical Preparations,Zymeworks Inc.
