ticker,sic_description,sec_name
BJRI,Retail-Eating  Places,BJs RESTAURANTS INC
BKKT,Finance Services,"Bakkt, Inc."
BLKB,Services-Prepackaged Software,BLACKBAUD INC
BLLN,Services-Medical Laboratories,"BillionToOne, Inc."
BLMN,Retail-Eating  Places,"Bloomin' Brands, Inc."
BLSH,Finance Services,Bullish
BLTE,Pharmaceutical Preparations,"BELITE BIO, INC"
BLZE,Services-Prepackaged Software,"Backblaze, Inc."
BMEA,Pharmaceutical Preparations,"Biomea Fusion, Inc."
BMNR,Finance Services,"BITMINE IMMERSION TECHNOLOGIES, INC."
BNED,Retail-Miscellaneous Shopping Goods Stores,"Barnes & Noble Education, Inc."
BOBS,Retail-Furniture Stores,"Bob's Discount Furniture, Inc."
BOXL,Services-Educational Services,Boxlight Corp
BRCB,Retail-Eating & Drinking Places,"Black Rock Coffee Bar, Inc."
BRKR,Laboratory Analytical Instruments,BRUKER CORP
BRLS,Food and Kindred Products,Borealis Foods Inc.
BRR,Finance Services,"ProCap Financial, Inc."
BRUN,Services-Computer Processing & Data Preparation,Boost Run Inc.
BRZE,Services-Prepackaged Software,"Braze, Inc."
BTBT,Finance Services,"Bit Digital, Inc"
BTCS,Finance Services,BTCS Inc.
BTCT,Finance Services,BTC Digital Ltd.
BTDR,Finance Services,Bitdeer Technologies Group
BTGO,Finance Services,"BITGO HOLDINGS, INC."
BTSG,Services-Home Health Care Services,"BrightSpring Health Services, Inc."
BTU,Bituminous Coal & Lignite Surface Mining,PEABODY ENERGY CORP
BULL,"Security Brokers, Dealers & Flotation Companies",Webull Corp
BUUU,Services-Amusement & Recreation Services,BUUU Group Ltd
BVS,Surgical & Medical Instruments & Apparatus,Bioventus Inc.
BWEN,Nonferrous Foundries (Castings),"BROADWIND, INC."
BWIN,"Insurance Agents, Brokers & Service","Baldwin Insurance Group, Inc."
BXC,"Wholesale-Lumber, Plywood, Millwork & Wood Panels",BlueLinx Holdings Inc.
BZ,"Services-Computer Programming, Data Processing, Etc.",Kanzhun Ltd
CABA,"Biological Products, (No Diagnostic Substances)","Cabaletta Bio, Inc."
CADL,"Biological Products, (No Diagnostic Substances)","Candel Therapeutics, Inc."
CAI,Services-Medical Laboratories,"Caris Life Sciences, Inc."
CAKE,Retail-Eating  Places,CHEESECAKE FACTORY INC
CAPR,Pharmaceutical Preparations,"CAPRICOR THERAPEUTICS, INC."
CARL,Surgical & Medical Instruments & Apparatus,"CARLSMED, INC."
CARS,Services-Computer Processing & Data Preparation,Cars.com Inc.
CBIO,Pharmaceutical Preparations,"CRESCENT BIOPHARMA, INC."
CBLL,Electromedical & Electrotherapeutic Apparatus,"Ceribell, Inc."
CBRL,Retail-Eating  Places,"CRACKER BARREL OLD COUNTRY STORE, INC"
CCC,Services-Prepackaged Software,CCC Intelligent Solutions Holdings Inc.
CCCC,"Biological Products, (No Diagnostic Substances)","C4 Therapeutics, Inc."
CCXI,"General Industrial Machinery & Equipment, NEC",Churchill Capital Corp XI
CDE,Gold and Silver Ores,"Coeur Mining, Inc."
CDNA,Services-Medical Laboratories,"CareDx, Inc."
CDW,Retail-Catalog & Mail-Order Houses,CDW Corp
CELH,Bottled & Canned Soft Drinks & Carbonated Waters,"Celsius Holdings, Inc."
CELU,Pharmaceutical Preparations,Celularity Inc
CERS,Surgical & Medical Instruments & Apparatus,CERUS CORP
CERT,Services-Prepackaged Software,"Certara, Inc."
CF,Agricultural Chemicals,"CF Industries Holdings, Inc."
CGAU,Gold and Silver Ores,Centerra Gold Inc.
CGEM,"Biological Products, (No Diagnostic Substances)","Cullinan Therapeutics, Inc."
CGON,"Biological Products, (No Diagnostic Substances)","CG Oncology, Inc."
CGTL,Wholesale-Computers & Peripheral Equipment & Software,Creative Global Technology Holdings Ltd
CHPT,"Miscellaneous Electrical Machinery, Equipment & Supplies","ChargePoint Holdings, Inc."
CHRN,"General Industrial Machinery & Equipment, NEC",ChronoScale Holdings Corp
CHYM,Finance Services,"Chime Financial, Inc."
CLDX,In Vitro & In Vivo Diagnostic Substances,"Celldex Therapeutics, Inc."
CLFD,Telephone & Telegraph Apparatus,"Clearfield, Inc."
CLGN,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",CollPlant Biotechnologies Ltd
CLMB,Wholesale-Computers & Peripheral Equipment & Software,"Climb Global Solutions, Inc."
CLMT,Petroleum Refining,"Calumet, Inc. /DE"
CLOV,Hospital & Medical Service Plans,"CLOVER HEALTH INVESTMENTS, CORP. /DE"
CLPT,Surgical & Medical Instruments & Apparatus,"ClearPoint Neuro, Inc."
CLW,Paperboard Mills,Clearwater Paper Corp
CLYM,Pharmaceutical Preparations,"Climb Bio, Inc."
CMCL,Gold and Silver Ores,Caledonia Mining Corp Plc
CMCO,Construction Machinery & Equip,COLUMBUS MCKINNON CORP
CMPS,Pharmaceutical Preparations,COMPASS Pathways plc
CMPX,"Biological Products, (No Diagnostic Substances)","Compass Therapeutics, Inc."
CNH,Construction Machinery & Equip,CNH Industrial N.V.
CNXC,"Services-Business Services, NEC",Concentrix Corp
CODI,Household Furniture,Compass Diversified Holdings
COHU,Instruments For Meas & Testing of  Electricity & Elec Signals,COHU INC
COIN,Finance Services,"Coinbase Global, Inc."
COMP,Real Estate Agents & Managers (For Others),"Compass, Inc."
CORT,Pharmaceutical Preparations,CORCEPT THERAPEUTICS INC
COTY,"Perfumes, Cosmetics & Other Toilet Preparations",COTY INC.
CRBP,Pharmaceutical Preparations,"Corbus Pharmaceuticals Holdings, Inc."
CRCL,Finance Services,"Circle Internet Group, Inc."
CRCT,"Special Industry Machinery, NEC","Cricut, Inc."
CRDL,"Biological Products, (No Diagnostic Substances)",Cardiol Therapeutics Inc.
CRE,Commercial Printing,Cre8 Enterprise Ltd
CRM,Services-Prepackaged Software,"Salesforce, Inc."
CRON,Medicinal Chemicals & Botanical Products,Cronos Group Inc.
CRSR,"Computer Peripheral Equipment, NEC","Corsair Gaming, Inc."
CRVS,Pharmaceutical Preparations,"Corvus Pharmaceuticals, Inc."
CRWD,Services-Prepackaged Software,"CrowdStrike Holdings, Inc."
CRWV,Services-Prepackaged Software,"CoreWeave, Inc."
CSTL,Services-Medical Laboratories,CASTLE BIOSCIENCES INC
CTEV,"Services-Business Services, NEC",Claritev Corp
CTKB,Laboratory Analytical Instruments,"Cytek Biosciences, Inc."
CTNM,Pharmaceutical Preparations,"Contineum Therapeutics, Inc."
CTRN,Retail-Apparel & Accessory Stores,Citi Trends Inc
CUE,Pharmaceutical Preparations,"Cue Biopharma, Inc."
CURI,Services-Motion Picture & Video Tape Production,CuriosityStream Inc.
CURR,"Services-Business Services, NEC",Currenc Group Inc.
CVI,Petroleum Refining,CVR ENERGY INC
CVLT,Services-Prepackaged Software,COMMVAULT SYSTEMS INC
